,0,1
0,"Akyildiz, Ian Fuat",1985
0,"Allen, Gabrielle D.",1980
0,"Anderson, Brian D.O.",1965
0,"Balakrishnan, Hari",1995
0,"Baraniuk, Richard G.",1989
0,"Ben Letaief, Khaled",1991
0,"Bengio, Yoshua",1988
0,"Bertsimas, Dimitris J.",1988
0,"Boneh, Dan",1993
0,"Bovik, Alan Conrad",1982
0,"Boyd, Stephen P.",1982
0,"Burgard, Wolfram",1987
0,"Campbell, Andrew Thomas",1992
0,"Chang., Shihfu",1991
0,"Chellappa, Rama",1980
0,"Chen, Guanrong",1986
0,"Cohen, Laurent D.",1988
0,"Cohen, William W.",1992
0,"Cootes, Timothy F.",1992
0,"Cremers, Daniel",1999
0,"Dally, William J.",1980
0,"Davis, Larry Steven",1975
0,"Dorigo, Marco",1991
0,"Dumais, Susan T.",1975
0,"Freeman, William T.",1990
0,"Giannakis, Georgios B.",1986
0,"Grossmann, Ignacio E.",1978
0,"Guibas, Leo J.",1975
0,"Haas, Harald",1998
0,"Han, Jiawei",1985
0,"Henzinger, Thomas A.A.",1989
0,"Hespanha, Joao Pedro",1996
0,"Hinton, Geoffrey E.",1979
0,"Huang, Thomas S.",1964
0,"Jain, Anil K.",1972
0,"Jordan, Michael I.",1989
0,"Kailath, Thomas",1960
0,"Kanade, Takeo",1971
0,"Kumar, Vipin P.",1981
0,"Lewis, Frank L.T.",1978
0,"Ma, Weiying",1994
0,"Magnenat Thalmann, Nadia Magnenat",1977
0,"Mangasarian, Olvi L.",1960
0,"Manning, Christopher D.",2000
0,"Mataric, Maja J.",1990
0,"McGuinness, Deborah L.",1988
0,"Mitchell, John C.",1981
0,"Moore, Jason H.",1993
0,"Morari, Manfred",1977
0,"Muller, Klaus Robert",1992
0,"Musen, Mark A.",1986
0,"Ng, Andrew Y.",1995
0,"Ni, Lionel M.",1979
0,"Osher, Stanley Joel",1967
0,"Pal, Sankar Kumar",1977
0,"Pedrycz, Witold",1980
0,"Perrig, Adrian",2000
0,"Prade, Henri M.",1978
0,"Rexford, Jennifer L.",1990
0,"Sangiovanni-Vincentelli, Alberto L.",1973
0,"Sastry, Shankar S.",1980
0,"Satyanarayanan, Mahadev",1980
0,"Schiele, Bernt",1994
0,"Schmid, Cordelia",1993
0,"Schuller, Bjorn W.",2001
0,"Sejnowski, Terrence Joseph",1974
0,"Shah, Mubarak A.",1984
0,"Shen X., Xuemin",1989
0,"Shenker, Scott J.",1987
0,"Shneiderman, Ben",1971
0,"Simon, Herbert A.",1941
0,"Smola, Alex Johannes",1997
0,"Song, Dawn",1999
0,"Spong, Mark William",1981
0,"Stankovic, John A.",1978
0,"Stoica, Petre",1976
0,"Szalay, Alexander S.",1948
0,"Szeliski, Richard",1985
0,"Tanenbaum, Andrew S.",1973
0,"Tang, Xiaoou",1995
0,"Tao, Dacheng",2002
0,"Tarjan, Robert Endre",1971
0,"Thrun, Sebastian B.",1990
0,"Ullman, Jeffrey David",1967
0,"Vaidyanathan, Sundarapandian",1999
0,"van der Aalst, Wil M.P.",1993
0,"van der Bruggen, Bart",1997
0,"Varghese, George",1987
0,"Vetterli, Martin",1983
0,"Wang, Zidong",1994
0,"Wetherall, David J.",1994
0,"Wu, Jie",1988
0,"Yager, Ronald R.",1975
0,"Zadeh, Lotfi A.",1949
0,"Zhang, David",1984
0,"Zisserman, Andrew P.",1983
