,h_t+1,h_t,a_age_t,paper_num_t
1978,2,1,0,2
1979,3,2,1,6
1980,3,3,2,9
1981,4,3,3,11
1982,5,4,4,21
1983,5,5,5,27
1984,7,5,6,35
1985,9,7,7,45
1986,11,9,8,55
1987,14,11,9,70
1988,15,14,10,82
1989,16,15,11,88
1990,18,16,12,97
1991,19,18,13,112
1992,21,19,14,119
1993,22,21,15,127
1994,24,22,16,139
1995,26,24,17,151
1996,28,26,18,164
1997,29,28,19,184
1998,30,29,20,196
1999,32,30,21,213
2000,34,32,22,221
2001,36,34,23,246
2002,38,36,24,262
2003,41,38,25,281
2004,43,41,26,293
2005,46,43,27,312
2006,49,46,28,335
2007,53,49,29,356
2008,55,53,30,379
2009,57,55,31,397
2010,59,57,32,426
2011,61,59,33,456
2012,65,61,34,489
2013,68,65,35,512
2014,70,68,36,540
2015,73,70,37,571
2016,75,73,38,596
2017,76,75,39,620
2018,77,76,40,637
2019,78,77,41,644
2020,78,78,42,645
